id,name_wrestling,name_crew,name_real,name_alt,nationality_fr,nationality_en,year_start,year_end,mask_theme_en,active_fr,active_en,info_fr,info_en,mask_theme_fr,x,y,w,h
abismo_negro,Abismo Negro,,Andres Alejandro Palomeque Gonzalez,,Mexicain,Mexican,1987,2009,darkness/death/demon/macabre,mort,dead,"Abismo est l’un des grands rudos de la AAA à la fin des années 90, au sein du groupe des Vipers, et il est reconnu pour mettre en valeur ses adversaires. Il bénéficie d’une entrée spectaculaire, avec l’utilisation de lance-flammes, et emploie le redoutable pile driver (martinete) comme finish. Les raisons de sa mort restent encore obscures mais son corps est retrouvé dans une rivière, en 2009, après être descendu d’un bus en pleine campagne.","Abismo was one of the greatest rudos of the AAA in the late 90s. He was in the Vipers group and was known for putting his opponents in the spotlight. He used flamethrowers for his spectacular entrances and finished with the dreaded pile driver move. The reasons for his death are still unclear, but his body was found in a river in 2009 after he got off a bus in the countryside.",obscurité/mort/démon/macabre,0,0,2560,2400
abyss,Abyss,,Chris J. Parks,Joseph Parks,Americain,American,1995,,madness/mystery,actif,active,"Abyss est l’un des grands monster heels de la TNA durant les années 2000-2010, et prend un grand plaisir à détruire ses adversaires, à l’aide, si nécessaire, de sa batte de baseball recouverte de barbelés, et prénommée Janice. Également très doué pour le comedy wrestling, il jouera le rôle de Joseph Parks, sorte de Clark Kent peureux et non violent qui, poussé à bout, se transforme en monstre destructeur.","Abyss was one of the big monster heels of the TNA in 2000-2010 and found great pleasure in destroying his adversaries. When necessary, he uses a baseball bat covered in barbed wire, which he named Janice. He is also a gifted comedic wrestler, playing the role of Joseph Parks, a scared, non-violent Clark Kent type who becomes a destructive monster when pushed to the limit.",folie/mystère,160,0,2560,2400
ace_angel,Ace Angel,,,,Français,French,2012,,religious,actif,active,"Son premier nom de catcheur est Petit Ange, en hommage à l’<span data-id=l_ange_blanc>Ange Blanc</span> et au Petit Prince, deux grands catcheurs français connu pour leurs agilité sur le ring. Après des débuts en 2013, il a notamment fait équipe avec <span data-id=senza_volto>Senza Volto</span> et fait partie des espoirs du catch français.","His original wrestling name was Petit Ange (Little Angel), in tribute to <span data-id=l_ange_blanc>Ange Blanc</span> and to the Petit Prince (Little Prince), two great French wrestlers known for their agility in the ring. After his debut in 2013, he teamed up with <span data-id=senza_volto>Senza Volto</span> and is one of the promising French wrestlers today.",religieux,0,160,2560,2400
aerostar,Aerostar,,,,Mexicain,Mexican,2003,,"elements/nature, pop culture/comic/manga/movie",actif,active,"Il est le dernier catcheur dont le gimmick a été créé par Antonio Pena, fondateur de la AAA, en 2006. Entraîné par <span data-id=abismo_negro>Abismo Negro,</span> son masque, inspiré des aviateurs, symbolise très bien ses capacités de high flyer, n’hésitant pas à prendre de gros risques pour le plaisir du public. Il travaille par la suite à la Lucha Underground, sous un gimmick de voyageur temporel, et fait équipe avec Drago et <span data-id=fenix>Fenix.</span>","He was the last wrestler to use a gimmick created by Antonio Peña, founder of the the AAA, in 2006. He was trained by <span data-id=abismo_negro>Abismo Negro,</span> and his mask, which was inspired by aviators, is a symbol for his great high flying abilities. He never hesitates to take big risks to please the public. He also worked at the Lucha Underground with a time traveler gimmick, teaming up with Drago and <span data-id=fenix>Fenix.</span>",plusieurs,160,160,2560,2400
aguila_solitaria,Aguila Solitaria,,,,Mexicain,Mexican,1978,1997,"animal, pop culture/comic/manga/movie",semi-retraité,semi-retired,"Entrainé par <span data-id=blue_demon_sr>Blue Demon Sr,</span> son personnage est inspiré d'une célèbre bande dessinée mexicain. Il est notamment connu pour son arrivée spectaculaire sur le ring, avec un aigle domestiqué. C'est ausi un des rares catcheurs dont l'identité est toujours inconnue.","Trained by <span data-id=blue_demon_sr>Blue Demon Sr,</span> his character was inspired by a famous Mexican comic. He was known for his spectacular arrival to the ring, accompanied by a domesticated eagle. He is also one of the rare wrestlers whose identity is still unknown.",plusieurs,320,0,2560,2400
aldo_montoya,Aldo Montoya,,Peter Joseph Polaco,Justin Credible,Americain,American,1992,2015,pop culture/comic/manga/movie,retraité,retired,"A son arrivée à la WWE, deux gimmicks sont proposés à Peter Polaco : un joueur de football (soccer) portugais, à l’occasion de la coupe du monde de 1994, ou un Power Ranger au masque jaune. Il opte, avec un peu de regret, vu le look final, pour le second. Le personnage a peu de succès, mais le catcheur sait rebondir, notamment lors de son passage à la ECW, de 1997 à 2001, avec un style plus hardcore.","When he joined the WWE, two gimmicks were offered to Peter Polaco: a Portuguese soccer player at the 1994 world cup, or a Power Ranger in a yellow mask. Given the final look, he opted for the second, with little regret. The character was not very successful, but the wrestler bounced back during his time at the ECW from 1997 to 2001, with a more hardcore style.",culture pop/bande dessinée/manga/film,320,160,2560,2400
alushe,Alushe,,,KeMonito,Mexicain,Mexican,1988,,mythology/folklore/history,actif,active,"Le gimmick d’Alushe est inspiré d’une créature proche du gobelin dans la culture maya. Le personnage est utilisé comme mascotte du catcheur <span data-id=tinieblas_sr>Tinieblas Sr</span> et connaît un très grand succès à la fin des années 90, avec même des émissions à la télévision. Son interprète utilise par la suite un autre gimmick, Kemonito, un singe au pelage bleu-vert qui se fait notamment connaître grâce à un gif mémorable : https://gfycat.com/fr/tightgiftedballpython-ninguno","The Alushe gimmick was inspired by a goblin-like creature from Mayan culture. The character was used as <span data-id=tinieblas_sr>Tinieblas Sr's</span> mascot, and was very successful in the late 90s, even being broadcast on television. The wreslter then uses another gimmick, Kemonito, a monkey with a blue-green coat, well known thanks to this <a href=https://gfycat.com/fr/tightgiftedballpython-ninguno target=_blank> memorable gif</a>.",mythologie/folklore/histoire,0,320,2560,2400
osirian_portal_amasis,Amasis,Osirian Portal,,,Americain,American,2007,,mythology/folklore/history,actif,active,"Desean Pratt débute sa carrière en 2007 à la Chikara où il forme, avec son partenaire <span data-id=osirian_portal_ophidian>Ophidian,</span> l’équipe Osirian Portal. Il y interprète un gimmick humoristique de “pharaon break-dancer”. L’équipe s’étoffe par la suite avec Hieracon et Escorpion Egipcio.","Desean Pratt began his career in 2007 at the Chikara where he formed the Osirian Portal team with his partner <span data-id=osirian_portal_ophidian>Ophidian.</span> He used a funny gimmick, the “pharaoh break-dancer.” The team then grew when Hieracon and Escorpio Egipcio joined.",mythologie/folklore/histoire,1440,1920,2560,2400
angel_azteca,Angel Azteca,,,,Mexicain,Mexican,1980,2007,"religious, mythology/folklore/history",mort,dead,"Ce technico fait quelques apparitions en midcard à la AAA et la CMLL à la fin des années 80 et durant les années 90. Il bénéficie d’une entrée en scène majestueuse, avec un costume de plumes inspiré des guerriers aztèques. A noter que Principe Maya, visiblement ivre sur le ring, refuse de lui donner son masque, après avoir perdu un match de lucha de apuestas. Démasqué par <span data-id=arkangel_de_la_muerte>Arkangel de la Muerte,</span> en 2003, il meurt tragiquement, en 2007, lors d’un match contre son ancien partenaire, <span data-id=atlantis_sr>Atlantis Sr.</span>","This technico made a few appearances in midcards at the AAA and the CMLL in the 80s and 90s. He had a majestic entrance in a feathered costume, inspired by Aztec warriors. Once, Principe Maya, visibly drunk, refused to give him his mask after losing a lucha de apuestas match. He was unmasked by <span data-id=arkangel_de_la_muerte>Arkangel de la Muerte</span> in 2003. He died tragically in 2007 during a match against his former partner <span data-id=atlantis_sr>Atlantis Sr.</span>",plusieurs,160,320,2560,2400
angel_blanco_jr,Angel Blanco Jr,,David Vargas Camarena,,Mexicain,Mexican,1988,,religious,actif,active,"Fils du catcheur <span data-id=angel_blanco_sr>Angel Blanco Sr,</span> il travaille à la CMLL dans les années 90 et forme, avec Dr O’Borman Jr et El Hijo del Gladiador, la Nueva Ola Blanco. Un hommage au trio formé par son père avec <span data-id=el_solitario>El Solitario</span> et <span data-id=dr_wagner_sr>Dr Wagner Sr</span> qui ne connaît pourtant pas le succès escompté. Angel Blanco Jr a par la suite de belles rivalités avec <span data-id=el_hijo_del_santo>El Hijo del Santo</span> et El Hijo del Solitario.","Son of <span data-id=angel_blanco_sr>Angel Blanco Sr,</span> he worked at the CMLL in the 90s and trained with Dr. O’Borman Jr and El Hijo del Gladiator, La Nueva Ola Blanco. They payed homage to the trio formed by his father with <span data-id=el_solitario>El Solitario</span> and <span data-id=dr_wagner_sr>Dr Wagner Sr,</span> but were not as successful as expected. Angel Blanco Jr later had great rivalries against <span data-id=el_hijo_del_santo>El Hijo del Santo</span> and El Hijo del Solitario.",religieux,320,320,2560,2400
