id,name_wrestling,name_crew,name_real,name_alt,nationality_fr,nationality_en,year_start,year_end,mask_theme_en,active_fr,active_en,info_fr,info_en,mask_theme_fr,x,y,w,h
angel_blanco_sr,Angel Blanco Sr,,José Ángel Vargas Sánchez,,Mexicain,Mexican,1958,1986,religious,mort,dead,"Le père d’<span data-id=angel_blanco_jr>Angel Blanco Jr</span> forme, dans les années 60, avec <span data-id=dr_wagner_sr>Dr Wagner Sr,</span> l’une des plus grandes équipes du catch mexicain : la Ola Blanca. Le duo de rudos devient trio avec la venue d’<span data-id=el_solitario>El Solitario.</span> Mais ce dernier, devenu trop populaire, est trahi par les deux autres. La rivalité culmine lors d’un lucha de apuestas entre El Solitario et Angel Blanco Sr. Ce dernier, démasqué, garde cependant toute sa popularité, mais il décède tragiquement dans un accident de voiture, en 1986.","He was the father of <span data-id=angel_blanco_jr>Angel Blanco Jr,</span> and in the 60s, he and <span data-id=dr_wagner_sr>Dr Wagner Sr</span> formed one of the greatest Mexican wrestling teams: the Ola Blanca (White Wave). The rudo duo became a trio when <span data-id=el_solitario>El Solitario</span> joined them. But the most recent addition to the group started becoming too popular and was betrayed by his two partners. The rivalry culminates during a lucha de apusetas match between El Soliatrio and Angel Blanco Sr. The latter, while unmasked, maintained his popularity. He passes away tragically in a car accident in 1986.",religieux,480,0,2560,2400
anibal,Anibal,,Carlos Ignacio Carrillo Contreras,,Mexicain,Mexican,1963,1993,basic,mort,dead,"Entraîné par <span data-id=mil_mascaras>Mil Mascaras</span> et <span data-id=black_shadow>Black Shadow</span> (le masque d’Anibal lui rend d’ailleurs hommage), il forme un trio très populaire au début des années 80 avec <span data-id=los_villanos_villano_III>Villano III</span> et <span data-id=el_solitario>El Solitario.</span> Devenu rudo, il a une grande rivalité avec El Solitario, mais ce dernier meurt peu avant le match de lucha de apuestas. Démasqué par Mascara Ano 2000, il demande à son fils, le futur <span data-id=el_hijo_del_anibal>El Hijo del Anibal,</span> de le venger en reprenant son masque.","Trained by <span data-id=mil_mascaras>Mil Mascaras</span> and <span data-id=black_shadow>Black Shadow,</span> he was part of a very popular trio in the 80s with <span data-id=los_villanos_villano_III>Villano III</span> and <span data-id=el_solitario>El Solitario.</span> When he became a rudo, his rival was El Solitario, but he passed away shortly before their lucha de apuestas match. Unmasked by Mascara Ano 2000, he asked his son, the future <span data-id=el_hijo_del_anibal>El Hijo del Anibal,</span> to avenge him by taking back his mask.",fondamental,480,160,2560,2400
antifaz_del_norte,Antifaz del Norte,,,,Mexicain,Mexican,1993,2014,basic,retraité,retired,"Fils d’une promotrice de catch, il débute le catch à la AAA à la fin des années 90. Recruté par la CMLL au début des années 2000, il forme un trio populaire avec El Felino et Safari. Suite à une blessure à la cheville, il opte pour un style plus physique et devient un rudo, notamment au sein de la stable Los Vipers. A noter qu’il catche sans masque, et révèle ainsi son identité, lors de son passage dans une émission de la WWE dédiée aux talents latino-américains.","Son of a Monterrey wrestling promoter, he started wresting at AAA in the late 90s. When recruited by the CMLL in the early 2000s, he formed a popular trio with EL Felino and Safari. Following an ankle injury, he opted for a more physical style and became a rudo, and joined Los Vipers. During a WWE show dedicated to Latino talent, he wrestled without a mask and revealed his identity.",fondamental,480,320,2560,2400
arachnaman,Arachnaman,,Robert Bradley James,Brad Armstrong,Americain,American,1980,2012,pop culture/comic/manga/movie,mort,dead,"Ce gimmick est utilisé par le catcheur Brad Armstrong, fils de <span data-id=bullet_bob_armstrong>Bullet Bob Armstrong,</span> durant les années 90 à la WCW. Tirant de la toile et vêtu d’un costume intégral, le personnage est une copie si flagrante de Spiderman que la compagnie Marvel menace la promotion d’un procès. Et cette dernière n’a d’autre solution que de le faire disparaître. Brad Armstrong continue ensuite sa carrière la WCW puis à la WWF, notamment comme entraîneur mais il meurt, malheureusement, à l’âge de 50 ans.","This gimmick was used by the wrestler Brad Armstrong, son of <span data-id=bullet_bob_armstrong>Bullet Bob Armstrong,</span> during the 90s at the WCW. Shooting webs and donning a full suit, the character was such a blatant copy of Spiderman that the Marvel company threatened the promotion with a lawsuit. The promotion had no choice other than to make the character disappear. He continued his career at the WCW and then at WWF as a trainer, but passed away at 50 years old.",culture pop/bande dessinée/manga/film,0,480,2560,2400
argenis,Argenis,,,,Mexicain,Mexican,2006,,animal,actif,active,"Fils du catcheur Dr Karonte Sr, c’est également le frère de <span data-id=sin_cara_azul>Mistico,</span> Astro Boy et Argos. En 2008, gimmické à la AAA comme le frère jaloux de Mistico, il n’arrive pourtant pas égaler ce dernier en popularité. De 2015 à 2017, il fait par ailleurs quelques apparitions à la Lucha Underground sous son masque ou celui d’un lutteur au masque de squelette, au sein de la stable The Disciples of Death.","He is the son of wrestler Dr Karonte Sr, and brother of <span data-id=sin_cara_azul>Mistico,</span> Astro Boy, and Argos. In 2008, he gimmicked at the AAA as Mistico’s jealous brother, but couldn’t match the Mistico's popularity. From 2015 to 2017, he made several appearances at the Lucha Underground both under his mask and a skeleton mask when he was in the Disciples of Death team.",animal,160,480,2560,2400
arkangel_de_la_muerte,Arkangel de la Muerte,,,,Mexicain,Mexican,1985,2018,"religious, darkness/death/demon/macabre",mort,dead,"Débute sa carrière en 1991 sous le gimmick du Cid mais la perte de son masque le fait tomber dans la dépression. Suite à un accident de voiture qui le laisse dans le coma pendant une semaine, il affirme avoir vu un ange lui dire de ne pas renoncer, ce qui lui inspire son nouveau gimmick. Il enlève le masque d’<span data-id=angel_azteca>Angel Azteca</span> en 2003 et devient par la suite un grand entraîneur à la CMLL, de 2006 à 2018.","He began his career in 1991 with the Cid gimmick, but became depressed after the loss of his mask. Following a car accident that left him in a coma for a week, he claimed to have seen an angel telling him not to give up, which inspired his new gimmick. He retired the <span data-id=angel_azteca>Angel Azteca</span> mask in 2003 and became a great trainer at the CMLL from 2006 to 2018.",plusieurs,320,480,2560,2400
arturito,Arturito,,,,Mexicain,Mexican,1979,,pop culture/comic/manga/movie,actif,active,"Il fait partie des grands noms de la division mini au Mexique, au début des années 80, avec Gulliver, Gran Nicolay ou Pequeno Goliath. Son gimmick, largement inspiré de R2D2 dans Star Wars, tout comme <span data-id=darth_vader>Darth Vader,</span> rencontre un très grand succès chez les enfants. Son succès décline à la fin des années 80-début des 90’s, avec la concurrence de nouveaux mini plus doués sur le ring.","In the 80s he was one of the biggest names in the mini division in Mexico, alongside Gulliver, Gran Nicolay, and Pequeño Goliath. His gimmick was met with great enthusiasm from children, like <span data-id=darth_vader>Darth Vader,</span> as it was largely inspired by R2D2 from Star Wars. His success declined in the late 80s and early 90s, when new, more talented wrestlers came into the ring.",culture pop/bande dessinée/manga/film,480,480,2560,2400
astro_de_oro,Astro de Oro,,Francisco Lee,,Guatemalais,Guatemalan,1985,2012,elements/nature,retraité,retired,"Il débute sa carrière en 1985 et devient très rapidement une star au Guatemala, où il remporte de nombreuses lucha de apuestas. Arborant sur son masque le quetzal, oiseau emblématique de son pays, il profite de sa venue à l’UWA, une promotion Mexicain, pour se confronter à des catcheurs prestigieux comme <span data-id=dr_wagner_jr>Dr Wagner Jr,</span> Mascara Ano 2000, <span data-id=pirata_morgan>Pirata Morgan</span> ou Fishman.","He began his career in 1985 and quickly became a star in Guatemala, where he won numerous lucha de apuestas matches. Wearing the quetzal on his mask, which is the emblematic bird of his country, he took advantage of his arrival at the UWA to face prestigious fighters like <span data-id=dr_wagner_jr>Dr Wagner Jr,</span> Mascara Ano 2000, <span data-id=pirata_morgan>Pirata Morgan,</span> and Fishman.",éléments/nature,640,0,2560,2400
asuka,Asuka,,Kanako Urai,,Japonais,Japanese,2004,,mythology/folklore/history,actif,active,"Catcheuse Japonais actuellement en activité à la WWE, son style de catch est fortement inspiré du puroresu. Son masque, qu'elle porte à chacune de ses entrées est inspiré du personnage de la demoiselle dans le théâtre No. Mais celui-ci reste avant tout un accessoire, qu'elle enlève une fois le match commencé.","Japanese wrestler currently active in WWE, her style of wrestling is strongly inspired by puroresu. Her mask, which she wears for all her entrances, is inspired by the young lady in Noh theatre. But the mask is first and foremost an accessory, and she removes it as soon as the match begins.",mythologie/folklore/histoire,640,160,2560,2400
atlantis_jr,Atlantis Jr,,,,Mexicain,Mexican,2017,,"elements/nature, legacy",actif,active,"Fils du célèbre catcheur mexicain <span data-id=atlantis_sr>Atlantis Sr,</span> il débute son entraînement dès l’âge de 12 ans, sous la houlette de son père mais également de mentors comme Virus, <span data-id=arkangel_de_la_muerte>Arkangel de la Muerte</span> ou <span data-id=ultimo_guerrero>Ultimo Guerrero.</span> Sa carrière, débutée en 2018, est encore trop courte pour en faire le digne héritier de son père, mais la grande rivalité de ce dernier contre <span data-id=los_villanos_villano_III>Villano III</span> se poursuit, avec des matches contre El Hijo del Villano III.","Son of the famous Mexican wrestler <span data-id=atlantis_sr>Atlantis Sr,</span> he began training at 12 years old, under his father’s leadership, but also with help from mentors like Virus, <span data-id=arkangel_de_la_muerte>Arkangel de la Muerte,</span> and <span data-id=ultimo_guerrero>Ultimo Guerrero.</span> His career, which began in 2018, is too new to make him a worthy heir to his father, but he has continued his father's rivalry with <span data-id=los_villanos_villano_III>Villano III.</span>",plusieurs,640,480,2560,2400
atlantis_sr,Atlantis Sr,,,,Mexicain,Mexican,1983,,"mythology/folklore/history, elements/nature",actif,active,"Peu connu en dehors du Mexique, Atlantis reste pourtant l'un des plus grands technicos en activité, après plus de 40 ans de carrière. Surnommé ""l'idole des enfants"" et star de film de lucha libre, il a remporté nombre de masques prestigieux (dont celui de <span data-id=los_villanos_villanos_III>Villano III</span>) en lucha de apuestas.","While he is mostly unknown outside of Mexico, Atlantis is one of the greatest active heroes, with a career spanning over 40 years. Nicknamed “kid’s favorite” and a wrestling film star, he has won a number of prestigious masks (such as the Villano III) in lucha de apuestas.",plusieurs,0,640,2560,2400
aullido,Aullido,,,,Mexicain,Mexican,1988,2014,"other, pop culture/comic/manga/movie",retraité,retired,"Aullido (howling en anglais) est bel exemple de l’attrait d’Antonio Pena, le créateur de la AAA, pour des gimmicks monstrueux, fortement inspirés des films de la Hammer. Après Quasimodo ou la Momie, arrive donc, en 1993, un loup-garou mais il connaît peu de succès et disparaît des rings dès l’année suivante.","Aullido (howling in English) is a good example of Antonio Peña’s (the founder of the AAA) affinity for monster gimmicks, notably those inspired by the Hammer movies, or B-movies. After the gimmicks of Quasimodo and the Mummy, he became a werewolf in 1993, but he wasn’t very successful and disappeared from the ring a year later.",plusieurs,160,640,2560,2400
australian_suicide,Australian Suicide,,Broderick Shepperd,Ryan Rollins,Australien,Australian,2005,,other,actif,active,"Après des débuts dans son pays natal, Australian Suicide part s'entraîner, en 2012, au Canada avec le célèbre catcheur Lance Storm. Il est alors répéré par la AAA, où il débute en 2013, sous le gimmick d'Australian Suicide. Démasqué en 2016, il fait une petite apparition à la Lucha Underground, sous le gimmick d'Hexagon Dark, en référence au catcheur <span data-id=pentagon_dark>Pentagon Dark.</span>","After making his debut in his native country, Australian Suicide left to Canada to train with the famous wrestler Lance Storm in 2012. He was then spotted by the AAA, where he began wrestling in 2013 with the Australian Suicide gimmick. He was unmasked in 2016, and made an small appearance at the Lucha Underground under the Hexagon Dark gimmick, in reference to <span data-id=pentagon_dark>Pentagon Dark.</span>",autre,320,640,2560,2400
avatar,Avatar,,Allen Ray Sarven,Al Snow,Americain,American,1982,,"martial arts/warrior, pop culture/comic/manga/movie",actif,active,"Ce gimmick de ninja, probablement inspiré du succès de Mortal Kombat, est utilisé temporairement par le catcheur Al Snow lors de son arrivée à la WWE en 1995. Ce dernier connaît ensuite une belle carrière à la ECW, grâce à un gimmick de schizophrène et un style hardcore. Mais il reste surtout connu pour la tête de mannequin qu’il amène régulièrement sur le ring. Permettant au public de crier “We want head !”","This ninja gimmick, likely inspired by the success of Mortal Kombat, was temporarily used by the wrestler Al Snow when he arrived at the WWE in 1995. Al had a great career at the ECW, thanks to his schizophrenic gimmick and hardcore style. He is best known for the mannequin head he regularly brings into the ring, encouraging the public to shout “we want head!”",plusieurs,480,640,2560,2400
averno,Averno,,Renato Ruis Cortez,,Mexicain,Mexican,1995,,darkness/death/demon/macabre,actif,active,"Fils d’un arbitre de la CMLL, son nom est inspiré du cratère volcanique du lac Averne, où Enée descendit aux Enfers, selon Virgile. Il est connu pour sa rivalité avec <span data-id=sin_cara_azul>Mistico</span> et comme membre de la célèbre stable Los Infernales, menée par El Satanico, avec d’autres rudos comme Mephisto ou Euphoria.","Son of a CMLL referee, his name is inspired by the volcanic crater of Lake Averne, where Aeneas descended into Hell, according to Virgil. He is known for his rivalry with <span data-id=sin_cara_azul>Mistico</span> and for being a member of the famous Los Infernales team led by El Satanico, with other rudos such as Mephisto and Euphoria.",obscurité/mort/démon/macabre,640,640,2560,2400
bandido,Bandido,,,,Mexicain,Mexican,2011,,pop culture/comic/manga/movie,actif,active,"Bandido, dont le masque reprend les codes du hors la loi dans les westerns, est un des rares catcheurs de quatrième génération, son arrière-grand père ayant combattu sous le nom d’El Hungaro. Considéré comme l’un des meilleurs high flyers actuels, il se concentre actuellement sur le circuit indépendant, notamment à la ROH, où il est le premier catcheurMexicain à signer un contrat à plein temps.","Bandido, whose mask is decorated with symbols of the Western outlaws, is one of the rare fourth-generation wrestlers. His great grandfather fought under the name El Hungaro. Considered to be one of the greatest active high flyers, he is currently focused on the independent circuit. He is the first Mexican wrestler to sign a full time contract with the ROH.",culture pop/bande dessinée/manga/film,800,0,2560,2400
battle_kat,Battle Kat,,Dean R Peters,Brady Boone,Americain,American,1984,1994,animal,mort,dead,"Gimmick temporaire utilisé par le catcheur Brady Boone, en 1990, lors de son passage à la WWE. L’idée est alors de mettre en avant ses capacités acrobatiques pour faire de lui le “félin du ring”. Le personnage ne dure cependant pas longtemps et Brady Boone part dans des promotions indépendantes puis à la WCW. Il y fait la rencontre du catcheur Rob Van Dam, qui reprendra ses prises en hommage. Brady Boone meurt malheureusement en 1998, suite à un accident de voiture.","This temporary gimmick was used by Brady Boone in 1990 during his time at the WWE. The idea was to highlight his acrobatic talent to make him the “feline of the ring.” The character didn't last long, and the wrestler left for independent promotions. While at the WCW he met Rob Van Dam, who later used Boone’s holds in tribute to him. He died tragically in 1998, following a car accident.",animal,800,160,2560,2400
battman,Battman,,Tony Silipini,Tony Marino,Americain,American,1954,1987,pop culture/comic/manga/movie,retraité,retired,"Tony Marino débute sa carrière en 1954, à Buffalo, New York. Lors de son arrivée à la WWWF (future WWE), il profite du succès phénoménal de la série télévisée Batman, lancée en 1966, pour revêtir le masque du “Caped Crusader” et reçoit le soutien du grand catcheur Bruno Sammartino, avec qui il fait équipe. Il part ensuite, en 1972, à la NWA, avant de prendre sa retraire en 1987.","Tony Marino began his career in 1954, in Buffalo, New York. When he arrived at WWF, he took advantage of the phenomenal success of the 1966 Batman TV series and wore the “Caped Crusader” mask. The great wrestler Bruno Sammartino supported him, and the two teamed up. He left for the NWA in 1972, and retired in 1987.",culture pop/bande dessinée/manga/film,800,320,2560,2400
black_shadow,Black Shadow,,Alejandro Cruz Ortiz,,Mexicain,Mexican,1942,1981,"madness/mystery, pop culture/comic/manga/movie",mort,dead,"S’il n’a pas la notoriété d’<span data-id=El Santo>El Santo</span> ou <span data-id=blue_demon_sr>Blue Demon Sr</span> (son grand ami, avec qui il forme le duo Los Hermanos Shadow), Black Shadow a eu un rôle essentiel dans la lucha libre. Il est ainsi l’un des premiers à utiliser un style high fly, avec des mouvements depuis la troisième corde, dès les années 50. Son match de lucha de apuesta contre El Santo, en 1952, en a popularisé le concept.","Black Shadow played an essential role in lucha libre, even if he was never as notorious as <span data-id=El Santo>El Santo</span> or <span data-id=blue_demon_sr>Blue Demon Sr.</span> The latter was his good friend, and together they formed the Los Hermanos Shadow duo. He was one of the first to use the high-fly style, incorporating moves from the third cord since the 50s. His lucha de apuesta match against El Santo in 1952 popularized the style.",plusieurs,800,480,2560,2400
black_tiger_i,Black Tiger I,,Mark Hussey,,Royaume-Uni,British,1972,1991,animal,retraité,retired,"Considéré comme l'un des plus grand catcheurs anglais, Mark ""Rollerball"" Rocco se lancera dans le catcheur malgré le refus de son père. Il connaîtra un succès phénoménal lors de sa venue au Japon, en étant le premier à porter le masque de Black Tiger, némésis du grand face <span data-id=tiger_mask_I>Tiger Mask.</span>","Considered to be one of the best English wrestlers, Mark “Rollerball” Rocco becomes a wrestler despite his father’s disapproval. He finds phenomenal success once he arrives in Japan, becoming the first to wear the mask of the Black Tiger, nemesis of the great face Tiger Mask.",animal,800,640,2560,2400
black_tiger_ii,Black Tiger II,,Eduardo Gory Guerrero Llanes,Eddie Guerrero,Americain,American,1987,2005,"animal, legacy",mort,dead,"Eddie Guerrero est, avec <span data-id=rey_mysterio_jr>Rey Mysterio,</span> le catcheur latino-américain le plus connu aux Etats-Unis. Il sera la deuxième porteur du masque de Black Tiger lors d’un séjour au Japon. Par la suite, il incarnera le prototype du ""cool rudo"", combinant triche et maîtrise technique sur le ring. Il décèdera brutalement, à l’âge de 38 ans, en 2005, victime d'une crise cardiaque.","Along with Ray Mysterio, Eddie Guerrero is the most renowned Latino wrestler in the US. He was the second to wear the Black Tiger mask during his time in Japan. He embodied the prototype of the “cool villain”, combining cheating and masterful technique in the ring. He sadly passed away in 2005 from a heart attack at 38.",plusieurs,0,800,2560,2400
black_tiger_iv,Black Tiger IV,,John R Rivera,Rocky Romero,Cubain,Cuban,1997,,"animal, pop culture/comic/manga/movie",actif,active,"Entraîné par le grand catcheur japonais Antonio Inoki à Los Angeles à la fin des années 90, Rocky Romero est un bel exemple de globe trotter, combattant aussi bien au Japon, au Mexique ou dans les promotions indépendantes américaines. C’est à l’occasion de son passage à la NJPW, en 2005, qu’il devient le quatrième catcheur étranger à incarner la némésis de <span data-id=tiger_mask_iv>Tiger Mask IV,</span> Black Tiger.","Rocky Romero was trained by the great Japanese wrestler Antonio Inoki in Los Angeles in the late 90s. He is a great example of a globetrotter, fighting as well in Japan as he did in Mexico and independent American promotions. During his time at the NJPW in 2005, he became the first foreign wrestler to play Black Tiger, nemesis of <span data-id=tiger_mask_iv>Tiger Mask IV.</span>",plusieurs,160,800,2560,2400
blackman,Blackman,,Alvaro Melendez Tibanez,,Mexicain,Mexican,1965,1994,"basic, darkness/death/demon/macabre",retraité,retired,"Formé par le grand entraîneur mexicain Diablo Velazco, il débute sa carrière en 1965 et forme un trio populaire, Los Fantasticos, avec Kato Kung Lee et Kung Fu. Son agilité dans le ring lui permet par ailleurs d’officier comme doublure d’<span data-id=el_santo>El Santo</span> dans des films de lucha libre. C’est aussi un des rares catcheurs à perdre deux fois son masque : la première fois au Mexique, contre <span data-id=blue_panther_sr>Blue Panther Sr,</span> en 1986, puis au Japon, contre Super Delfin, en 1993.","He was trained by the great Mexican coach Diablo Velazco. He began his career in 1965 and formed the popular trio, Los Fantasticos, with Kato Kung Lee and Kung Fu. His agility in the ring allowed him to act as a stunt double for <span data-id=el_santo>El Santo</span> in lucha libre movies. He is also one of the rare wrestlers to have lost his mask twice, first in Mexico, to <span data-id=blue_panther_sr>Blue Panther Sr</span> in 1986, and then in Japan when to Super Delfin in 1993.",plusieurs,320,800,2560,2400
