id,x,y,w,h
abismo_negro,0,0,2560,2400
abyss,160,0,2560,2400
ace_angel,0,160,2560,2400
aerostar,160,160,2560,2400
aguila_solitaria,320,0,2560,2400
aldo_montoya,320,160,2560,2400
alushe,0,320,2560,2400
angel_azteca,160,320,2560,2400
angel_blanco_jr,320,320,2560,2400
angel_blanco_sr,480,0,2560,2400
anibal,480,160,2560,2400
antifaz_del_norte,480,320,2560,2400
arachnaman,0,480,2560,2400
argenis,160,480,2560,2400
arkangel_de_la_muerte,320,480,2560,2400
arturito,480,480,2560,2400
astro_de_oro,640,0,2560,2400
asuka,640,160,2560,2400
asuka_1_,640,320,2560,2400
atlantis_jr,640,480,2560,2400
atlantis_sr,0,640,2560,2400
aullido,160,640,2560,2400
australian_suicide,320,640,2560,2400
avatar,480,640,2560,2400
averno,640,640,2560,2400
bandido,800,0,2560,2400
battle_kat,800,160,2560,2400
battman,800,320,2560,2400
black_shadow,800,480,2560,2400
black_tiger_i,800,640,2560,2400
black_tiger_ii,0,800,2560,2400
black_tiger_iv,160,800,2560,2400
blackman,320,800,2560,2400
blue_blazer,480,800,2560,2400
blue_demon_jr,640,800,2560,2400
blue_demon_sr,800,800,2560,2400
blue_panther_sr,960,0,2560,2400
bobby_lee,960,160,2560,2400
bullet_bob_armstrong,960,320,2560,2400
calgary_kid,960,480,2560,2400
captain_usa,960,640,2560,2400
chainsaw_charlie,960,800,2560,2400
cibernetico,0,960,2560,2400
ciclon_mackey,160,960,2560,2400
ciclope,320,960,2560,2400
cinta_de_oro,480,960,2560,2400
cm_punk,640,960,2560,2400
cuije,800,960,2560,2400
curry_man,960,960,2560,2400
darth_vader,1120,0,2560,2400
delirious,1120,160,2560,2400
doink_i,1120,320,2560,2400
dos_caras_jr,1120,480,2560,2400
dos_caras_sr,1120,640,2560,2400
dr_wagner_jr,1120,800,2560,2400
dr_wagner_sr,1120,960,2560,2400
drago,0,1120,2560,2400
dragon_lee_i,160,1120,2560,2400
dragon_lee_ii,320,1120,2560,2400
ebessan,480,1120,2560,2400
el_alebrije,640,1120,2560,2400
el_canek,800,1120,2560,2400
el_cobarde_i,960,1120,2560,2400
el_cobarde_ii,1120,1120,2560,2400
el_dragon_azteca_jr,1280,0,2560,2400
el_espectro_de_ultratumba,1280,160,2560,2400
el_fantasma,1280,320,2560,2400
el_felino,1280,480,2560,2400
el_generico,1280,640,2560,2400
